WMO_ID,cast_a,cast_b,gap_hours,delta_Temperature,delta_Salinity,delta_z,delta_Oxygen,suspicion_score
6901181.0,18253058,18253060,1.6409,33.125408,36.53899,36.094545,0.028554,34.766308
6901181.0,18253061,18253062,0.375,21.137854,1.448377,1.416785,0.011723,21.512854
6901181.0,18253062,18253064,3.7031,28.648051,51.062661,50.585389,0.04238,32.351151
6901181.0,18253064,18253066,2.2031,34.646995,89.697131,88.833476,0.051344,36.850094999999996
6901181.0,18253067,18253068,0.375,21.247439,22.978709,22.751941,0.010581,21.622439
6901181.0,18253068,18253070,3.8908,22.698184,4.607591,4.560447,0.005475,26.588984
6901181.0,18253070,18253072,2.4842,21.650233,48.776769,48.297921,0.016318,24.134433
6901181.0,18253073,18253074,0.469,20.182086,6.675166,6.596854,0.010873,20.651086000000003
6901181.0,18253074,18253076,3.5621,29.537221,51.381026,50.904326,0.074249,33.099320999999996
6901181.0,18253076,18253079,2.4841,38.215946,99.310229,98.360572,0.101571,40.700046
6901181.0,18253080,18253081,0.3288,23.7314,16.565289,16.398273,0.015463,24.060200000000002
6901181.0,18253081,18253083,3.8902,27.112952,23.576453,23.355218,0.013669,31.003152
6901181.0,18253083,18253086,2.25,34.145282,88.755886,87.902679,0.041896,36.395282
6901181.0,18253087,18253088,0.422,19.464298,11.710844,11.590143,0.018503,19.886298
6901181.0,18253088,18253090,3.7969,20.22487,30.898966,30.609489,0.007487,24.02177
6901181.0,18253090,18253091,2.1561,34.482226,94.495556,93.58518,0.070029,36.638326
6901181.0,18253093,18253094,0.422,23.385527,5.626652,5.557346,0.024699,23.807527
6901181.0,18253094,18253096,3.5622,34.168797,42.281051,41.889635,0.082385,37.730996999999995
6901181.0,18253096,18253097,1.922,37.107055,85.365396,84.550616,0.09744,39.029055
6901181.0,18253098,18253099,0.375,19.20065,22.945775,22.718524,0.008823,19.57565
6901181.0,18253099,18253101,3.703,31.241529,44.523287,44.114421,0.034993,34.944529
6901181.0,18253101,18253102,1.875,42.149767,109.621421,108.576101,0.064372,44.024767
6901181.0,18253104,18253105,0.3288,23.64431,2.610585,2.596799,0.000521,23.973110000000002
6901181.0,18253105,18253107,3.8902,31.164537,40.553082,40.177586,0.01684,35.054737
6901181.0,18253107,18253109,2.531,34.708649,98.436032,97.487464,0.046028,37.239649
6901181.0,18253110,18253111,0.4219,19.673034,25.771062,25.512703,0.041523,20.094934000000002
6901181.0,18253111,18253113,3.7031,29.09109,33.958221,33.651913,0.009914,32.79419
6901181.0,18253113,18253114,1.875,40.271201,99.881082,98.932826,0.068164,42.146201
6901181.0,18253116,18253117,0.375,21.665057,3.116907,3.07555,0.017469,22.040057
6901181.0,18253120,18253121,0.375,17.993934,16.896583,16.725664,0.030645,18.368934
